,Year,CountyIds, Crop Name, Production, Unit,Price P/I ($), Price P/U,Total Value($)
2042,2018,17,WALNUTS ENGLISH ,92.0,Tons ,44.31,4076.09,375000.0
2043,2018,19,WALNUTS ENGLISH ,15400.0,Tons ,0.08,1299.03,20005000.0
2044,2018,21,WALNUTS ENGLISH ,60900.0,Tons ,0.02,1283.86,78187000.0
2045,2018,29,WALNUTS ENGLISH ,1450.0,Tons ,0.89,1297.24,1881000.0
2046,2018,31,WALNUTS ENGLISH ,34400.0,Tons ,0.04,1448.2,49818000.0
2047,2018,33,WALNUTS ENGLISH ,1350.0,Tons ,1.89,2555.56,3450000.0
2048,2018,39,WALNUTS ENGLISH ,3820.0,Tons ,0.4,1520.42,5808000.0
2049,2018,47,WALNUTS ENGLISH ,11800.0,Tons ,0.12,1416.61,16716000.0
2066,2018,11,WHEAT ALL ,23800.0,Tons ,0.01,199.33,4744000.0
2067,2018,13,WHEAT ALL ,1840.0,Tons ,0.1,189.13,348000.0
2068,2018,19,WHEAT ALL ,63400.0,Tons ,0.0,222.0,14075000.0
2069,2018,21,WHEAT ALL ,20700.0,Tons ,0.01,173.62,3594000.0
2070,2018,25,WHEAT ALL ,85500.0,Tons ,0.0,157.56,13471000.0
2071,2018,29,WHEAT ALL ,42100.0,Tons ,0.0,196.84,8287000.0
2072,2018,31,WHEAT ALL ,46700.0,Tons ,0.0,220.15,10281000.0
2073,2018,35,WHEAT ALL ,6240.0,Tons ,0.03,179.17,1118000.0
2074,2018,39,WHEAT ALL ,5980.0,Tons ,0.04,256.02,1531000.0
2075,2018,47,WHEAT ALL ,16900.0,Tons ,0.01,195.86,3310000.0
2076,2018,49,WHEAT ALL ,16500.0,Tons ,0.01,177.76,2933000.0
2077,2018,53,WHEAT ALL ,470.0,Tons ,0.4,190.0,89300.0
2090,2018,11,WHEAT SEED ,2190.0,Tons ,0.09,200.0,438000.0
2113,2018,19,YUCCA ,18.0,Tons ,83.33,1500.0,27000.0
